date,hour,sx,sy,ex,ey,h,time,e,x
2019-04-02,13:57:01,498,315,398,99,166,5,0,1
2019-04-02,13:57:08,383,100,120,207,175,4,1,0
2019-04-02,13:57:13,382,99,116,267,172,5,1,0
2019-04-02,13:57:43,366,130,391,100,128,1,0,0
2019-04-02,13:57:43,389,96,571,375,165,3,1,0
2019-04-02,13:58:02,189,219,401,99,170,5,0,1
2019-04-02,13:58:29,168,243,471,196,175,3,0,0
2019-04-02,13:59:28,508,312,391,99,167,5,0,1
2019-04-02,14:00:17,442,214,119,221,174,3,0,0
2019-04-02,14:00:46,374,110,399,99,122,1,0,0
2019-04-02,14:00:47,382,113,556,354,165,3,1,0
2019-04-02,14:03:32,515,320,399,97,166,6,0,1
2019-04-02,14:08:30,389,94,414,412,161,3,1,0
2019-04-02,14:08:30,347,138,399,100,131,2,0,0
2019-04-02,14:08:45,448,372,550,326,134,1,0,0
2019-04-02,14:28:27,389,102,98,255,155,4,1,0
2019-04-02,14:36:11,192,253,561,356,171,3,0,0
2019-04-02,14:38:50,551,359,114,286,171,3,0,0
2019-04-02,14:39:05,160,261,485,197,176,2,0,0
2019-04-02,14:39:23,443,194,383,96,176,3,0,1
2019-04-02,14:39:42,518,332,149,272,167,3,0,0
2019-04-02,14:40:08,182,227,398,99,165,5,0,1
2019-04-02,14:40:53,383,100,458,222,167,2,1,0
2019-04-02,14:41:09,442,194,393,99,175,3,0,1
2019-04-02,14:42:08,382,97,428,374,171,4,1,0
2019-04-02,14:42:58,395,369,448,208,173,4,0,0
2019-04-02,14:43:09,380,104,458,212,164,2,1,0
2019-04-02,14:43:16,442,219,419,132,172,4,0,1
2019-04-02,14:43:24,446,189,457,226,179,8,0,0
2019-04-02,14:43:25,363,129,455,185,170,3,1,0
2019-04-02,14:43:43,444,179,395,99,174,4,0,1
2019-04-02,14:44:48,447,213,122,283,174,2,0,0
2019-04-02,14:45:40,382,99,325,151,150,1,0,0
2019-04-02,14:45:42,413,105,542,331,166,3,1,0
2019-04-02,14:45:44,317,146,399,99,163,3,0,0
2019-04-02,14:45:46,358,86,563,361,158,6,1,0
2019-04-02,14:48:44,558,361,231,127,167,5,0,0
2019-04-02,14:48:46,230,127,237,125,141,2,0,0
2019-04-02,14:48:47,225,123,232,131,140,1,0,0
2019-04-02,14:48:53,509,314,347,232,157,13,0,0
2019-04-02,14:48:55,304,247,324,216,156,2,0,0
2019-04-02,14:48:56,326,216,313,219,147,1,0,0
2019-04-02,14:48:57,326,219,324,217,148,1,0,0
2019-04-02,14:49:07,232,107,208,135,165,18,0,0
2019-04-02,14:49:09,200,140,154,196,128,1,0,0
2019-04-02,14:49:11,320,207,123,228,162,13,0,0
2019-04-02,14:49:26,215,216,475,120,155,2,0,1
2019-04-02,14:49:28,401,116,393,99,130,2,0,0
2019-04-02,14:49:29,181,228,541,323,166,3,0,0
2019-04-02,14:49:49,183,200,446,134,164,4,0,1
2019-04-02,14:49:53,438,130,401,98,156,3,0,0
2019-04-02,14:59:20,380,102,468,130,132,1,0,0
2019-04-02,14:59:23,411,161,130,250,185,3,1,0
2019-04-02,15:25:19,140,206,442,127,166,3,0,1
2019-04-02,15:25:21,378,120,389,100,136,2,0,0
2019-04-02,15:26:17,389,99,133,221,168,4,1,0
2019-04-02,15:27:51,160,205,398,99,169,4,0,1
2019-04-02,15:30:18,149,236,382,104,160,4,0,1
2019-04-02,15:36:02,382,100,122,267,154,4,1,0
2019-04-02,15:43:41,389,99,235,240,176,4,1,0
2019-04-02,15:48:05,173,214,561,363,172,3,0,0
2019-04-02,15:48:15,503,316,223,253,173,2,0,0
2019-04-02,15:53:21,172,187,269,180,139,2,0,0
2019-04-02,15:53:25,269,149,358,131,171,4,0,1
2019-04-02,16:06:04,374,109,344,142,153,2,0,0
2019-04-02,16:06:11,389,147,250,214,182,7,1,0
2019-04-02,16:06:12,208,256,122,228,127,1,0,0
2019-04-02,16:06:37,540,347,214,131,169,6,0,0
2019-04-02,16:06:42,221,138,375,107,149,4,0,1
2019-04-02,16:07:46,361,127,161,270,158,7,1,0
2019-04-02,16:07:51,168,271,233,357,138,4,0,0
2019-04-02,16:07:56,226,337,216,350,140,4,0,0
2019-04-02,16:07:59,236,343,141,248,138,2,0,0
2019-04-02,16:08:15,170,266,588,377,151,3,0,0
2019-04-02,16:08:18,201,242,487,190,173,2,0,0
2019-04-02,16:08:46,515,320,413,127,159,21,0,1
2019-04-02,16:08:49,357,137,398,99,152,3,0,0
2019-04-02,16:09:41,443,210,114,281,175,2,0,0
2019-04-02,16:09:42,382,104,556,364,165,4,1,0
